id,case 
1989_75,the civil appeal by speci al leave and the companynected slp raise an important issue as to the power of the central administration tribun al tribunal to examine the adequacy of penalty awarded by the companypetent authority to a government servant in discipl inary proceedings
1959_102,a reference was made by the government of assam on march 8 1956 to the industrial tribunal on the question whether the dismissal of das was justified and if number whether he was entitled to reinstatement with or without companypensation or any other relief in lieu thereof
1979_76,the appellant questioned the companyrectness of this order in writ petition number 559/61 in the high companyrt which was dismissed in limine on 22nd march 1961 and which has led to a companytention on behalf of the respondents that the subsequent writ petition from which the present appeal arises is barred by the principles analogous to res judicata
1991_124,this appeal was earlier heared by a division bench and was referred to a companystitution bench for examining the question whether a candidate whose name appears in the merit list on the basis of a companypetitive examination acquires indefeasible right of appointment as a government servant if a vacancy exists
1985_233,this question which is companymon to all the writ petitions is the only question which arises for companysideration and these writ petitions are accordingly being disposed of by this companymon judgment
1984_73,the learned judge held that the plaint does disclose a cause of action and the plaintiff was entitled to claim and recover the amount of gratuity with interest thereon
1963_191,the high companyrt held that the respondents were agriculturists within the madras agriculturists relief act 1938 called for brevity the act and were entitled to a scaling down of the decree in s
1992_1,while they were there this question of dowry once again raised its head and it is alleged that even on that occasion the father and sister of ashok misbehaved with meera and her father and stated that they would number allow meera to live with ashok unless rs
1963_285,it is directed against the judgment of the high companyrt of punjab refusing the appellants application under section 66 2 of the income-tax act 1922 for an order directing the income-tax appellate tribunal to refer the following question to the high companyrt for its decision whether on the facts and in the circumstances of the case the sum of rs
1961_166,it is number in dispute that this numberification was issued without taking any action under part vii of the act
1962_237,these are three appeals with certificates of fitness granted by the high companyrt of madras against orders passed in petitions for the issue of writs of certiorari setting aside orders imposing penalty upon the firm of messrs
1990_342,the companyrt held that companytinuance of lessees possession after expiry of period of lease was number lawful for purposes of renewal of licence under madras cinema regulation act 1955 obviously because lessee was left with no interest which companyld furnish any excuse or give it even colour of being legal
1975_183,in the previous disputes the order of the management retrenching some workers was upheld by the regional conciliation officer and against that shibban lal saxena served a numberice of strike listing 18 demands and calling upon the management to reinstate the retrenched workers and pay them bonus
1985_23,the sole question which arises for determination in this appeal is as to what is the rate at which the goods which had been purchased earlier and which were in stock with the assessee on 30-6-74 were assessable to purchase tax when the purchases were found to be last purchases as a result of events which took place subsequent to 30
1988_248,and i issue injunction that there should number be any obstacle in handing over the possession to jhummamal
1971_570,this appeal was originally heard by us on january 11 14 1971 when it was considered desirable to send for the original records of the case from the companyrts below and also to call for the me relating to the inquiry held by the central government under s
1984_63,70 of the bombay shops and establishments act 1948 and the question depends upon the true construction of s
1954_181,to follow the points in issue it will be useful to refer to the statutory provisions bearing on the matter
